,U+0051,Q,15
,U+0072,r,2970
,U+0052,R,225
,U+0073,s,25521
,U+0053,S,1330
,U+0074,t,22816
,U+0054,T,2187
,U+0075,u,2011
,U+0055,U,80
,U+0076,v,435
,U+0056,V,102
,U+0077,w,2736
,U+0057,W,618
,U+0078,x,473
,U+0058,X,20
,U+0079,y,15424
,U+0059,Y,489
,U+007A,z,13443
,U+005A,Z,45
,U+02BC,ʼ,49210
,U+02BE,ʾ,1
,U+02BF,ʿ,1
,U+03B1,α,14
,U+03B3,γ,2
,U+03B4,δ,3
,U+0394,Δ,1
,U+03B5,ε,6
,U+0395,Ε,2
,U+03B7,η,2
,U+03B9,ι,12
,U+03BA,κ,6
,U+039A,Κ,1
,U+03BB,λ,4
,U+03BC,μ,6
,U+00B5,µ,1
,U+03BD,ν,6
,U+03BF,ο,19
,U+03C0,π,10
,U+03A0,Π,1
,U+03C1,ρ,7
,U+03C3,σ,2
,U+03C2,ς,15
,U+03C4,τ,5
,U+03C5,υ,6
,U+03C6,φ,1
,U+03C7,χ,1
,U+03C9,ω,1
,U+03A9,Ω,1
,U+0430,а,8
,U+0431,б,1
,U+0411,Б,2
,U+0432,в,2
,U+0433,г,4
,U+0434,д,2
,U+0435,е,11
,U+0437,з,1
,U+0438,и,14
,U+043A,к,6
,U+043B,л,5
,U+043C,м,1
,U+041C,М,1
,U+043D,н,5
,U+043E,о,12
,U+043F,п,1
,U+0440,р,5
,U+0420,Р,4
,U+0441,с,14
,U+0421,С,1
,U+0442,т,2
,U+0443,у,3
,U+0444,ф,1
,U+0424,Ф,2
,U+0425,Х,1
,U+0446,ц,2
,U+0447,ч,1
,U+044A,ъ,1
,U+044B,ы,1
,U+044C,ь,1
,U+044F,я,6
,U+0561,ա,8
,U+0565,ե,1
,U+0569,թ,1
,U+056B,ի,1
,U+0540,Հ,3
,U+0575,յ,3
,U+0576,ն,4
,U+0578,ո,2
,U+057A,պ,1
,U+057D,ս,2
,U+057F,տ,3
,U+0580,ր,1
,U+0582,ւ,2
,U+05D5,ו,1
,U+05D9,י,1
,U+05DC,ל,1
,U+05E2,ע,1
,U+05E7,ק,1
,U+05E9,ש,2
,U+0627,ا,17
,U+0628,ب,4
,U+0629,ة,10
,U+062C,ج,5
,U+062F,د,1
,U+0631,ر,12
,U+0632,ز,3
,U+0633,س,2
,U+0634,ش,1
,U+0635,ص,1
,U+0637,ط,1
,U+0639,ع,6
,U+0641,ف,1
,U+0642,ق,1
,U+0644,ل,13
,U+0645,م,6
,U+0647,ه,3
,U+0648,و,4
,U+0649,ى,1
,U+064A,ي,14
,U+0917,ग,1
,U+091C,ज,1
,U+0923,ण,1
,U+0924,त,1
,U+092D,भ,1
,U+092F,य,1
,U+0930,र,2
,U+093E,ा,2
,U+094D,्,1
,U+0995,ক,1
,U+0997,গ,1
,U+099C,জ,1
,U+09A2,ঢ,1
,U+09A3,ণ,1
,U+09A4,ত,2
,U+09A6,দ,1
,U+09A8,ন,1
,U+09AA,প,1
,U+09AC,ব,2
,U+09B0,র,2
,U+09B2,ল,2
,U+09B6,শ,1
,U+09BE,া,7
,U+09C0,ী,1
,U+09C7,ে,1
,U+09CD,্,3
,U+0F42,ག,2
,U+0F61,ཡ,1
,U+13A0,Ꭰ,1
,U+13A2,Ꭲ,1
,U+13A9,Ꭹ,2
,U+13B3,Ꮃ,2
,U+13C2,Ꮒ,1
,U+13E3,Ꮳ,2
,U+13EB,Ꮻ,1
,U+13EF,Ꮿ,1
,U+13F4,Ᏼ,1
,U+1100,ᄀ,3
,U+1103,ᄃ,1
,U+1106,ᄆ,3
,U+1109,ᄉ,1
,U+110B,ᄋ,2
,U+110C,ᄌ,3
,U+1112,ᄒ,2
,U+1161,ᅡ,1
,U+1162,ᅢ,1
,U+1165,ᅥ,1
,U+1169,ᅩ,2
,U+116A,ᅪ,1
,U+116E,ᅮ,4
,U+1174,ᅴ,1
,U+1175,ᅵ,4
,U+11A8,ᆨ,2
,U+11AB,ᆫ,6
,U+11BC,ᆼ,1
,U+30BB,セ,1
,U+30BF,タ,1
,U+306E,の,1
,U+30EB,ル,1
,U+4E2D,中,1
,U+4EBA,人,2
,U+4F1D,伝,1
,U+534E,华,1
,U+570B,國,1
,U+5927,大,1
,U+6587,文,1
,U+65E5,日,2
,U+672C,本,1
,U+6C11,民,1
,U+6C49,汉,1
,U+6CE2,波,1
,U+6D25,津,1
,U+6F22,漢,1
,U+7CFB,系,1
,U+83EF,華,1
,U+8A9E,語,2
,U+8AAC,説,1
,U+8BED,语,2
,U+97D3,韓,1
